story_id,sprint_number,story_points,final_story_points,story_type,initiative_id,status,cycle_time_days,num_blockers,blocker_duration_days,assignee_id,assignee_name,priority,dependencies_count,start_date,estimation_accuracy
STORY-0112,4,8,8,Technical Debt,INIT-005,Carried Over,9,2,2,TM006,Frank Wilson,Low,0,2025-06-25,0.0
STORY-0113,4,2,2,Feature,INIT-015,Carried Over,5,0,5,TM004,David Kim,Low,0,2025-06-27,0.0
STORY-0114,4,3,3,Feature,INIT-005,Descoped,10,0,0,TM003,Carol Johnson,Low,0,2025-06-24,0.0
STORY-0115,4,1,1,Feature,INIT-015,Incomplete,7,1,1,TM002,Bob Martinez,Low,0,2025-06-24,0.0
STORY-0116,5,5,5,Feature,INIT-005,Completed,1,0,0,TM001,Alice Chen,High,0,2025-07-10,0.0
STORY-0117,5,2,3,Bug,INIT-005,Completed,5,0,0,TM001,Alice Chen,High,0,2025-07-11,0.5
STORY-0118,5,2,2,Feature,INIT-019,Completed,4,0,0,TM006,Frank Wilson,High,0,2025-07-08,0.0
STORY-0119,5,5,5,Feature,INIT-002,Completed,6,0,0,TM007,Grace Lee,High,1,2025-07-11,0.0
STORY-0120,5,3,3,Feature,INIT-001,Completed,6,0,0,TM008,Henry Brown,High,1,2025-07-10,0.0
STORY-0121,5,1,1,Feature,INIT-002,Completed,4,0,0,TM007,Grace Lee,High,0,2025-07-11,0.0
STORY-0122,5,3,2,Bug,INIT-004,Completed,6,0,0,TM002,Bob Martinez,High,0,2025-07-08,0.3333333333333333
STORY-0123,5,8,4,Feature,INIT-006,Completed,6,0,0,TM003,Carol Johnson,High,0,2025-07-09,0.5
STORY-0124,5,3,1,Feature,INIT-022,Completed,3,0,0,TM002,Bob Martinez,High,0,2025-07-11,0.6666666666666666
STORY-0125,5,5,5,Bug,INIT-022,Completed,8,0,0,TM006,Frank Wilson,High,1,2025-07-10,0.0
STORY-0126,5,2,1,Feature,INIT-015,Completed,8,0,0,TM005,Emma Rodriguez,High,0,2025-07-10,0.5
STORY-0127,5,8,8,Feature,INIT-015,Incomplete,6,1,0,TM002,Bob Martinez,Medium,0,2025-07-11,0.0
STORY-0128,5,5,5,Feature,INIT-001,Descoped,11,0,2,TM008,Henry Brown,Medium,0,2025-07-08,0.0
STORY-0129,5,5,5,Feature,INIT-006,Incomplete,9,0,0,TM004,David Kim,Medium,1,2025-07-11,0.0
STORY-0130,5,8,8,Feature,INIT-003,Incomplete,7,1,2,TM001,Alice Chen,Medium,1,2025-07-10,0.0
STORY-0131,5,1,1,Feature,INIT-019,Completed,7,0,0,TM003,Carol Johnson,Medium,0,2025-07-09,0.0
STORY-0132,5,3,3,Feature,INIT-013,Descoped,2,1,3,TM006,Frank Wilson,Medium,1,2025-07-08,0.0
STORY-0133,5,5,5,Feature,INIT-001,Incomplete,4,1,3,TM004,David Kim,Medium,0,2025-07-09,0.0
STORY-0134,5,2,2,Feature,INIT-002,Completed,9,0,0,TM001,Alice Chen,Medium,0,2025-07-09,0.0
STORY-0135,5,8,8,Feature,INIT-003,Descoped,13,0,3,TM001,Alice Chen,Medium,0,2025-07-09,0.0
STORY-0136,5,5,5,Feature,INIT-015,Incomplete,5,1,1,TM006,Frank Wilson,Medium,0,2025-07-11,0.0
STORY-0137,5,5,5,Bug,INIT-013,Incomplete,3,0,1,TM005,Emma Rodriguez,Medium,0,2025-07-11,0.0
STORY-0138,5,3,3,Feature,INIT-002,Descoped,14,0,2,TM002,Bob Martinez,Medium,1,2025-07-10,0.0
STORY-0139,5,5,5,Technical Debt,INIT-003,Incomplete,4,1,2,TM001,Alice Chen,Medium,0,2025-07-11,0.0
STORY-0140,5,8,8,Feature,INIT-013,Incomplete,4,0,2,TM002,Bob Martinez,Low,1,2025-07-10,0.0
STORY-0141,5,2,2,Feature,INIT-005,Incomplete,12,0,3,TM008,Henry Brown,Low,0,2025-07-08,0.0
STORY-0142,5,1,1,Feature,INIT-003,Descoped,10,1,0,TM005,Emma Rodriguez,Low,0,2025-07-08,0.0
STORY-0143,5,1,1,Feature,INIT-022,Incomplete,14,1,0,TM004,David Kim,Low,1,2025-07-10,0.0
STORY-0144,5,5,5,Feature,INIT-006,Incomplete,3,0,2,TM002,Bob Martinez,Low,2,2025-07-08,0.0
STORY-0145,5,5,5,Technical Debt,INIT-001,Incomplete,5,0,2,TM002,Bob Martinez,Low,0,2025-07-08,0.0
STORY-0146,5,8,8,Bug,INIT-006,Incomplete,9,1,1,TM008,Henry Brown,Low,3,2025-07-11,0.0
STORY-0147,5,2,2,Bug,INIT-002,Incomplete,1,1,1,TM001,Alice Chen,Low,1,2025-07-08,0.0
STORY-0148,5,3,3,Technical Debt,INIT-019,Descoped,8,1,0,TM004,David Kim,Low,0,2025-07-08,0.0
STORY-0149,5,3,3,Feature,INIT-006,Incomplete,12,1,3,TM006,Frank Wilson,Low,2,2025-07-11,0.0
STORY-0150,6,8,9,Feature,INIT-002,Completed,7,1,3,TM003,Carol Johnson,High,0,2025-07-24,0.125
STORY-0151,6,1,1,Feature,INIT-005,Completed,5,0,0,TM007,Grace Lee,High,0,2025-07-25,0.0
STORY-0152,6,3,2,Feature,INIT-006,Completed,10,0,0,TM005,Emma Rodriguez,High,0,2025-07-22,0.3333333333333333
STORY-0153,6,1,1,Bug,INIT-013,Completed,6,0,0,TM003,Carol Johnson,High,2,2025-07-23,0.0
STORY-0154,6,8,5,Bug,INIT-015,Completed,1,0,0,TM004,David Kim,High,1,2025-07-24,0.375
STORY-0155,6,3,3,Feature,INIT-022,Completed,1,0,0,TM008,Henry Brown,High,2,2025-07-24,0.0
STORY-0156,6,5,6,Bug,INIT-022,Completed,3,0,0,TM007,Grace Lee,High,0,2025-07-24,0.2
STORY-0157,6,2,2,Spike,INIT-001,Completed,3,0,0,TM007,Grace Lee,High,2,2025-07-22,0.0
STORY-0158,6,3,1,Bug,INIT-015,Completed,4,0,0,TM005,Emma Rodriguez,High,0,2025-07-25,0.6666666666666666
STORY-0159,6,2,2,Feature,INIT-002,Completed,8,0,0,TM008,Henry Brown,Medium,3,2025-07-24,0.0
STORY-0160,6,3,2,Bug,INIT-019,Completed,9,0,0,TM005,Emma Rodriguez,Medium,1,2025-07-23,0.3333333333333333
STORY-0161,6,3,3,Feature,INIT-002,Completed,4,0,0,TM004,David Kim,Medium,1,2025-07-22,0.0
STORY-0162,6,3,3,Feature,INIT-006,Descoped,3,0,0,TM005,Emma Rodriguez,Medium,0,2025-07-25,0.0
STORY-0163,6,8,8,Feature,INIT-013,Incomplete,3,1,0,TM008,Henry Brown,Medium,0,2025-07-24,0.0
STORY-0164,6,2,2,Technical Debt,INIT-019,Incomplete,13,0,3,TM001,Alice Chen,Medium,1,2025-07-23,0.0
STORY-0165,6,3,3,Feature,INIT-006,Incomplete,6,1,0,TM005,Emma Rodriguez,Medium,0,2025-07-24,0.0
STORY-0166,6,2,2,Feature,INIT-022,Descoped,11,0,1,TM003,Carol Johnson,Medium,0,2025-07-24,0.0
STORY-0167,6,8,8,Feature,INIT-001,Carried Over,14,1,5,TM004,David Kim,Medium,1,2025-07-25,0.0
STORY-0168,6,8,8,Feature,INIT-015,Descoped,5,1,3,TM004,David Kim,Medium,1,2025-07-25,0.0
STORY-0169,6,3,3,Feature,INIT-001,Incomplete,8,1,1,TM006,Frank Wilson,Medium,0,2025-07-24,0.0
STORY-0170,6,3,3,Bug,INIT-006,Incomplete,13,1,0,TM006,Frank Wilson,Medium,0,2025-07-22,0.0
STORY-0171,6,3,3,Feature,INIT-003,Carried Over,9,1,4,TM007,Grace Lee,Low,0,2025-07-23,0.0
STORY-0172,6,3,3,Technical Debt,INIT-006,Incomplete,8,1,3,TM005,Emma Rodriguez,Low,0,2025-07-22,0.0
STORY-0173,6,5,5,Feature,INIT-004,Incomplete,1,0,2,TM008,Henry Brown,Low,0,2025-07-25,0.0
STORY-0174,6,3,3,Feature,INIT-002,Incomplete,12,1,3,TM006,Frank Wilson,Low,0,2025-07-22,0.0
STORY-0175,6,8,8,Feature,INIT-006,Incomplete,7,1,2,TM002,Bob Martinez,Low,0,2025-07-22,0.0
STORY-0176,6,5,5,Feature,INIT-006,Incomplete,13,0,1,TM007,Grace Lee,Low,0,2025-07-22,0.0
STORY-0177,6,1,1,Feature,INIT-006,Descoped,8,0,1,TM006,Frank Wilson,Low,2,2025-07-24,0.0
STORY-0178,6,2,2,Feature,INIT-022,Incomplete,10,1,3,TM005,Emma Rodriguez,Low,0,2025-07-22,0.0
STORY-0179,6,3,3,Feature,INIT-002,Descoped,5,0,3,TM005,Emma Rodriguez,Low,2,2025-07-23,0.0
STORY-0180,7,8,6,Feature,INIT-020,Completed,7,0,0,TM004,David Kim,High,0,2025-08-05,0.25
STORY-0181,7,2,1,Feature,INIT-006,Completed,7,0,0,TM004,David Kim,High,0,2025-08-08,0.5
STORY-0182,7,1,1,Bug,INIT-019,Completed,4,0,0,TM008,Henry Brown,High,0,2025-08-07,0.0
STORY-0183,7,2,1,Feature,INIT-019,Completed,6,0,0,TM005,Emma Rodriguez,High,0,2025-08-06,0.5
STORY-0184,7,2,2,Feature,INIT-005,Completed,4,0,0,TM005,Emma Rodriguez,High,1,2025-08-06,0.0
STORY-0185,7,5,4,Feature,INIT-006,Completed,9,0,0,TM005,Emma Rodriguez,High,0,2025-08-08,0.2
STORY-0186,7,5,7,Bug,INIT-003,Completed,5,1,3,TM002,Bob Martinez,High,0,2025-08-08,0.4
STORY-0187,7,3,2,Bug,INIT-004,Completed,4,0,0,TM005,Emma Rodriguez,High,2,2025-08-07,0.3333333333333333
STORY-0188,7,2,1,Feature,INIT-020,Completed,4,0,0,TM004,David Kim,High,0,2025-08-05,0.5
STORY-0189,7,1,1,Feature,INIT-015,Completed,2,0,0,TM003,Carol Johnson,Medium,0,2025-08-06,0.0
STORY-0190,7,5,5,Feature,INIT-015,Completed,8,0,0,TM005,Emma Rodriguez,Medium,0,2025-08-05,0.0
STORY-0191,7,1,1,Feature,INIT-004,Completed,9,0,0,TM001,Alice Chen,Medium,2,2025-08-06,0.0
STORY-0192,7,5,6,Technical Debt,INIT-003,Completed,1,0,0,TM007,Grace Lee,Medium,1,2025-08-06,0.2
STORY-0193,7,3,3,Technical Debt,INIT-001,Completed,5,0,0,TM002,Bob Martinez,Medium,2,2025-08-07,0.0
STORY-0194,7,3,3,Feature,INIT-022,Incomplete,3,1,2,TM004,David Kim,Medium,1,2025-08-07,0.0
STORY-0195,7,2,2,Bug,INIT-022,Incomplete,1,1,2,TM004,David Kim,Medium,0,2025-08-08,0.0
STORY-0196,7,5,5,Feature,INIT-002,Incomplete,3,0,3,TM006,Frank Wilson,Medium,2,2025-08-05,0.0
STORY-0197,7,3,3,Feature,INIT-015,Incomplete,5,0,2,TM006,Frank Wilson,Medium,0,2025-08-05,0.0
STORY-0198,7,1,1,Feature,INIT-003,Descoped,12,1,0,TM005,Emma Rodriguez,Medium,0,2025-08-06,0.0
STORY-0199,7,2,2,Spike,INIT-015,Descoped,10,1,3,TM008,Henry Brown,Low,1,2025-08-06,0.0
STORY-0200,7,2,2,Feature,INIT-020,Incomplete,9,1,2,TM002,Bob Martinez,Low,2,2025-08-05,0.0
STORY-0201,7,1,1,Bug,INIT-019,Descoped,3,0,2,TM008,Henry Brown,Low,0,2025-08-06,0.0
STORY-0202,7,8,8,Feature,INIT-019,Incomplete,8,0,3,TM008,Henry Brown,Low,0,2025-08-08,0.0
STORY-0203,7,3,3,Bug,INIT-013,Incomplete,12,0,0,TM001,Alice Chen,Low,0,2025-08-05,0.0
STORY-0204,7,8,8,Spike,INIT-002,Incomplete,1,1,3,TM003,Carol Johnson,Low,1,2025-08-08,0.0
STORY-0205,7,3,3,Spike,INIT-013,Incomplete,7,0,1,TM006,Frank Wilson,Low,0,2025-08-08,0.0
STORY-0206,7,8,8,Feature,INIT-004,Incomplete,5,1,3,TM007,Grace Lee,Low,1,2025-08-06,0.0
STORY-0207,8,2,2,Technical Debt,INIT-022,Completed,2,1,3,TM007,Grace Lee,High,0,2025-08-19,0.0
STORY-0208,8,2,1,Feature,INIT-002,Completed,10,1,3,TM001,Alice Chen,High,0,2025-08-19,0.5
STORY-0209,8,5,4,Feature,INIT-018,Completed,4,0,0,TM001,Alice Chen,High,0,2025-08-21,0.2
STORY-0210,8,2,1,Bug,INIT-022,Completed,10,0,0,TM006,Frank Wilson,High,0,2025-08-20,0.5
STORY-0211,8,8,7,Feature,INIT-005,Completed,5,1,3,TM003,Carol Johnson,High,0,2025-08-22,0.125
STORY-0212,8,8,9,Feature,INIT-006,Completed,7,0,0,TM006,Frank Wilson,High,0,2025-08-22,0.125
STORY-0213,8,2,1,Feature,INIT-003,Completed,9,0,0,TM004,David Kim,High,0,2025-08-20,0.5
STORY-0214,8,5,4,Technical Debt,INIT-018,Completed,7,0,0,TM003,Carol Johnson,High,0,2025-08-21,0.2
STORY-0215,8,2,1,Feature,INIT-002,Completed,8,0,0,TM002,Bob Martinez,High,0,2025-08-20,0.5
STORY-0216,8,1,1,Feature,INIT-020,Completed,10,0,0,TM002,Bob Martinez,Medium,0,2025-08-20,0.0
STORY-0217,8,5,4,Feature,INIT-006,Completed,5,0,0,TM001,Alice Chen,Medium,0,2025-08-20,0.2
STORY-0218,8,1,1,Bug,INIT-023,Completed,8,0,0,TM004,David Kim,Medium,0,2025-08-20,0.0
STORY-0219,8,8,8,Feature,INIT-005,Descoped,11,1,2,TM005,Emma Rodriguez,Medium,0,2025-08-22,0.0
STORY-0220,8,5,5,Feature,INIT-022,Incomplete,4,1,2,TM007,Grace Lee,Medium,0,2025-08-20,0.0
STORY-0221,8,2,2,Feature,INIT-018,Descoped,12,1,2,TM003,Carol Johnson,Medium,0,2025-08-20,0.0
STORY-0222,8,5,5,Feature,INIT-004,Descoped,11,1,2,TM008,Henry Brown,Medium,2,2025-08-22,0.0
